alim_nom_eng,Culinary Fruit or Vegetable,Botanical fruit,Grows on tree,Grows underground,Water (g/100g),Protein (g/100g),Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
"Apricot, pitted, raw",F,1,1,0,87.1,0.81,9.01,0.5,6.7,1.3,0,2,0.2,0.2,3.4,0.35,1.7,0.5,0.66,0,0.47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,15,20,0.06,0.19,20,8.4,0.07,22,260,20,5,0.09,0,2350,0,0.7,0.8,0,2.55,0.03,0.013,0.1,0.19,0.054,7.6,0
"Pineapple, pulp, raw",F,1,1,0,85.5,0.5,11.7,0.5,10.5,2.3,0,1.8,0.2,0.2,6.4,0.35,1.2,0.5,0.31,0,0.78,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,8,21.6,0.06,0.17,20,15,0.84,8.1,140,20,5,0.08,0,66.9,0,0.08,0.8,0,46.1,0.056,0.033,0.31,0.17,0.052,19.6,0
"Banana, pulp, raw",F,1,1,0,75.8,1.06,19.7,0.5,15.6,3.8,0,3.9,0.2,0.2,7.9,3.8,2.7,0.5,0.79,0,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,5.1,79.8,0.06,0.2,20,28,0.36,29,320,20,5,0.14,0,28.5,0,0.08,0.8,0,7.16,0.054,0.01,0.39,0.31,0.18,19,0
"Cherry, pitted, raw",F,1,1,0,85.7,0.81,13,0.3,10,4.6,0,5.4,0.2,0.2,0.2,0.35,1.6,2.8,0.37,0,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,9.9,20,0.08,0.17,20,8.8,0.06,19,190,20,5,0.06,0,242,0,0.08,0.8,0,4.09,0.015,0.012,0.1,0.14,0.04,6.75,0
"Lemon, pulp, raw",F,1,1,0,91.3,0.5,1.56,0.5,0.8,0.4,0,0.4,0.2,0.2,0.2,0,0.5,0.5,0.38,0,6.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,11,20,0.04,0.15,20,7.9,0.02,12,140,20,5,0.33,0,5,0,0.08,0.8,0,45,0.043,0.01,0.1,0.14,0.023,28.4,0
"Strawberry, raw",F,0,0,0,90.3,0.63,6.03,0.5,5.6,3.3,0,2.3,0.2,0.2,0.2,0.35,3.8,0.5,0.47,0,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,18,20,0.02,0.19,20,12,0.26,23,140,20,5,0.11,0,5,0,0.3,0.8,0,54,0.015,0.01,0.21,0.13,0.04,98.9,0
"Raspberry, raw",F,1,1,0,86.8,1.19,5.83,0.8,5.4,2.8,0,2.1,0.2,0.2,0.5,0.35,4.3,0.5,0.35,0,1.9,0.13,0.16,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.04,0.16,0.27,0.16,0.01,0.01,0.01,0,0.013,16,20,0.04,0.4,20,20,0.44,29,170,20,5,0.24,0,100,0,0.88,5.02,0,18.7,0.015,0.02,0.35,0.85,0.032,38.1,0
"Passion fruit, pulp and pips, raw",F,1,1,0,73.6,2.13,10.9,3,8.5,2.5,0.2,2.4,0.2,0.2,3.6,1.2,6.8,0.5,0.54,0,3,0.54,0.49,1.82,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.1,0.39,1.65,0.17,0.01,0.01,0.01,0,0.013,8.1,20,0.15,0.56,20,26,0.19,46,240,20,5,0.76,0,1010,0,0.5,0.8,0,25.6,0.015,0.053,1.37,0.56,0.17,101,0
"Kiwi fruit, pulp and seeds, raw",F,1,1,0,83.5,0.88,11,0.6,8.9,4.3,0,3.8,0.2,0.2,0.8,0.35,2.4,0.5,0.57,0,1.05,0.13,0.16,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.04,0.14,0.07,0.18,0.01,0.01,0.01,0,0.013,29,34.7,0.15,0.16,20,12,0.05,26,290,20,5,0.12,0,38,0,0.96,16.6,0,81.9,0.015,0.021,0.23,0.24,0.036,22.2,0
"Clementine or Mandarin orange, pulp, raw -> ARCHIVE",F,1,1,0,87,0.81,9.17,0.5,8.6,1.5,0,1.4,0.2,0.2,5.7,0.35,1.7,0.5,0.35,0,0.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,23,20,0.04,0.09,20,9.3,0.02,18,140,20,5,0.1,0,147,0,0.21,0.8,0,49.2,0.064,0.01,0.23,0.2,0.079,27.6,0
"Mango, pulp, raw",F,1,1,0,81.1,0.63,14.3,0.5,12.9,3.4,0,1,0.2,0.2,8.5,1.1,1.6,0.5,0.3,0,3.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,12,21.8,0.07,0.09,20,11,0.07,12,150,20,5,0.11,0,864,0,2.05,1.12,0,25,0.015,0.01,0.72,0.18,0.1,70.2,0
"Melon, cantaloupe (ex Cavaillon or Charentais melon), pulp, raw",F,1,0,0,84.2,1.13,14.8,0.5,10.6,2.49,0.06,1.49,0.2,0.2,6.56,0.35,1.3,4,1.38,0,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.06,11,25.8,0.06,0.21,20,16,0.04,17,380,20,24,0.18,0,2500,0,0.08,0.8,0,8.14,0.015,0.01,0.6,0.15,0.055,58.9,0
"Blueberry, raw",F,1,0,0,84.2,0.87,10.6,0.33,9.96,4.97,0,4.88,0,0,0.11,0.03,2.4,0.014,0.24,0,1.37,0.028,0.047,0.15,0,0,0,0,0,0,0.017,0.005,0,0,0,0,0,0,0,0.0025,6,0,0.057,0.28,0.5,6,0.34,12,77,0,1,0.16,0,32,0,0.57,19.3,0,9.7,0.037,0.041,0.42,0.12,0.052,6,0
"Blackberry, raw",F,1,0,0,86.1,1.13,6.53,0.7,6.1,3.08,0.03,2.99,0.2,0.2,0.2,0.35,5.2,0.5,0.52,0,0.15,0.07,0.15,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.02,0.15,0.35,0.08,0.01,0.01,0.01,0,0.013,31,20,0.07,0.4,20,20,1.1,25,200,20,5,0.18,0,156,0,1.28,14.1,0,10.1,0.015,0.02,0.33,0.31,0.015,17,0
"Nectarine, pulp and peel, raw",F,1,1,0,87.6,1.16,8.9,0.31,7.89,1.37,0,1.57,0,0,4.87,0.07,1.7,0.08,0.49,0,0,0.025,0.088,0.11,0,0,0,0,0,0,0.023,0.002,0,0,0,0,0,0,0,0.0027,3.38,0,0.078,0.28,0.3,8.31,0.061,26.7,201,2.2,1.09,0.091,0,150,0,0.77,2.2,0,5.4,0.034,0.027,1.13,0.19,0.025,5,0
"Orange, pulp, raw",F,1,1,0,87.3,0.75,8.03,0.5,7.6,2.1,0,2,0.2,0.2,3.5,0.35,2.7,0.5,0.38,0,1.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,66,20,0.04,0.57,20,15,0.02,38,180,20,5,0.25,0,5,0,0.19,0.8,0,47.5,0.045,0.01,0.37,0.16,0.01,25.9,0
"Papaya, pulp, raw",F,1,1,0,88.8,0.75,8.53,0.3,8.1,4.1,0.2,4,0.2,0.2,0.2,0.35,1.8,0.5,0.37,0,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,22,63,0.01,0.16,20,18,0.04,8.7,200,20,5,0.05,0,351,0,0.08,0.8,0,65.3,0.017,0.017,0.29,0.18,0.02,55.3,0
"Watermelon, pulp, raw",F,1,0,0,91,0.69,8.33,0.5,7.9,3.6,0,1.8,0.2,0.2,2.5,0.35,0.5,0.5,0.29,0,0.016,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,6,20,0.03,0.16,20,11,0.02,9.7,100,20,5,0.09,0,1220,0,0.08,0.8,0,4.26,0.015,0.01,0.3,0.2,0.064,36.9,0
"Pear, pulp and peel, raw",F,1,1,0,83.5,0.49,10.9,0.27,9.01,6.06,0,2,0,0,0.95,0,2.9,1.89,0.39,0,0,0.067,0.057,0.12,0,0,0,0,0,0.00022,0.048,0.0093,0.017,0.1,0.015,0,0,0,0,0.0045,6.46,61,0.071,0.072,0.4,8.23,0.03,15.4,132,10,1.8,0.097,0,14,0,0.41,4.4,0,4.62,0.015,0.021,0.23,0.06,0.022,11.5,0
"Apple, pulp and peel, raw",F,1,1,0,85.4,0.25,11.6,0.25,9.35,5.96,0,2.01,0,0,1.38,0.05,1.4,0,0.56,0,0.46,0.052,0.01,0.15,0,0,0,0,0,0.0008,0.031,0.011,0.01,0.062,0.0067,0,0,0,0,0.0037,5.34,61,0.041,0.099,0.2,6.47,0.036,14.4,119,10,1.5,0.031,0,21.4,0,0.37,2.39,0,6.25,0.016,0.019,0.091,0.079,0.048,6,0
"Grapefruit, pulp, raw",F,1,1,0,89.3,0.5,8.02,0.5,6.6,1.9,0,1.9,0.2,0.2,2.8,0.35,0.8,0.5,0.28,0,1.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,14,20,0.02,0.06,20,7.2,0.02,17,140,20,5,0.07,0,539,0,0.08,0.8,0,42.4,0.043,0.01,0.1,0.19,0.36,52.9,0
"Peach, pulp and peel, raw",F,1,1,0,88.6,1.08,9,0.33,8.16,1.29,0.057,1.39,0,0.075,5.35,0,1.6,0.84,0.42,0,0,0.027,0.096,0.12,0,0,0,0,0,0,0.024,0.0029,0.096,0.12,0.0031,0,0,0,0,0.0075,7.32,0,0.075,0.15,0.3,11.2,0.064,21,215,0.16,1.11,0.12,0,162,0,1.27,2.6,0,6.6,0.022,0.046,0.7,0.16,0.028,4.1,0
"Grape, white, raw",F,1,1,0,80.9,0.75,16.6,0.5,15.5,8.5,0,7,0.2,0.2,0.2,0.35,1,0.5,0.44,0,0.076,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.013,12,20,0.19,0.2,20,7.6,0.08,16,200,20,5,0.05,0,7.54,0.25,0.31,5.44,0,1.07,0.043,0.01,0.1,0.077,0.043,16.3,0
"Grape, red, raw",F,1,1,0,84,0.63,15.6,0.4,15,7.1,0,7.4,0,0,0.5,0,1.4,0.2,0.4,0,0,0.13,0.016,0.12,0,0,0,0,0,0.003,0.11,0.015,0.016,0.09,0.027,0,0,0,0,0.0075,8.98,0,0.078,0.2,0.4,6.78,0.051,21.8,152,2.97,0.39,0.038,0,24,0,0.4,0,0,10.8,0.045,0.01,0.15,0.075,0.04,5,0
"Apple, pulp, raw",F,1,1,0,86.7,0.27,10.7,0.13,10.1,6.03,0,3.25,0,0,0.82,0,1.3,0.59,0.17,0,0,0.021,0.005,0.037,0,0,0,0,0,0,0.017,0.002,0,0,0,0,0,0,0,0,5,0,0.031,0.07,0.1,4,0.038,11,90,0.15,0,0.05,0,17,0,0.05,0.6,0,4,0.019,0.028,0.091,0.071,0.037,0,0
"Prickly pear, pulp and seeds, raw",F,1,1,0,88.4,0.37,6,0.31,1.02,0.21,0,0.44,0,0,0.38,0,4.45,0,1.6,0,0,0.01,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,118,0,0.019,0.25,1.5,77,0.58,17.5,175,0,4.5,0.14,0,60,0,0.01,2.9,0,12.5,0.011,0.046,0.38,0,0.079,8,0
"Lime, pulp, raw",F,1,1,0,86.3,1.13,3.14,0.3,2.1,0.8,0.2,0.8,0.2,0.2,0.5,0.35,4.3,0.5,0.44,0,4.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.015,57,20,0.08,0.2,20,14,0.09,24,190,20,6,0.15,0,12.4,0,0.45,0.8,0,29.3,0.015,0.023,0.25,0.23,0.018,36.5,0
"Apple, Canada, pulp, raw",F,1,1,0,84.4,0.4,11.6,0.1,11,0,0,0,0,0,0,0,1.6,0.59,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,3.59,0,0.035,0.14,1.12,3.76,0.03,8.61,154,0.045,3.69,0.09,0,0,0,0.27,0,0,4,0.03,0.02,0.1,0,0.06,1,0
"Apple, var. Golden, pulp, raw",F,1,1,0,85.5,0.5,11.7,0.5,11.3,6.9,0,1.6,0.2,0.2,2.8,0.35,2.5,0.5,0.25,0,0.051,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,2.8,20,0.03,0.06,20,3.5,0.03,8.8,110,20,5,0.05,0,59.8,0,0.08,0.8,0,1.29,0.015,0.01,0.1,0.078,0.052,8.93,0
"Pear, peeled, raw",F,1,1,0,85.1,0.3,10.4,0.1,10.4,0,0,0,0,0,0,0,2.47,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0075,11,0,0.06,0.2,1,7,0,13,150,1,3,0.1,0,0,0,0,0,0,6,0.2,0.03,0.2,0.07,0.02,2,0
"Morello cherry, raw",F,1,1,0,86.1,1.1,10.5,0.3,8.49,3.51,0,4.18,0,0,0.8,0,1.65,0,0.4,0,0,0.084,0.082,0.09,0,0,0,0,0,0.002,0.048,0.016,0,0,0,0,0,0,0,0.0063,16,0,0.1,0.32,0,9,0.11,15,173,0,3,0.1,0,770,0,0.07,2.1,0,10,0.03,0.04,0.4,0.14,0.044,8,0
"Cranberry, raw",F,1,1,0,86.8,0.75,7.6,0.13,4.04,0.63,0,3.28,0,0,0.13,0,5.13,0,0.24,0,0,0.011,0.018,0.055,0,0,0,0,0,0,0.006,0.002,0,0,0,0,0,0,0,0.02,11,0,0.061,0.44,0.15,6,0.36,13.5,98.8,0,8,0.1,0,36,0,1.2,5.1,0,13.7,0.012,0.018,0.3,0.3,0.057,1,0
"Apple, var. Granny Smith, pulp, raw",F,1,1,0,85.3,0.5,11.4,0.5,10.6,5.8,0,1.9,0.2,0.2,2.9,0.35,2.6,0.5,0.25,0,0.037,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,3.2,20,0.03,0.08,20,2.9,0.02,7.6,110,20,5,0.05,0,12.8,0,0.08,0.8,0,2.21,0.015,0.01,0.1,0.061,0.029,7.16,0
"Apple, var. Granny Smith, pulp and skin, raw",F,1,1,0,85.8,0.5,10.7,0.5,10.1,5.8,0,1.6,0.2,0.2,2.7,0.35,2.8,0.5,0.25,0,0.032,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,3.2,20,0.04,0.06,20,2.8,0.02,7.6,110,20,5,0.05,0,11.6,0,0.08,0.8,0,2.31,0.015,0.01,0.1,0.07,0.03,5.76,0
"Lemon zest, raw",F,1,1,0,81.6,1.38,5.4,0.3,4.17,0,0,0,0,0,0,0,10.6,0,0.6,0,0,0.042,0.012,0.096,0,0,0,0,0,0.001,0.038,0.002,0.011,0.067,0.028,0,0,0,0,0.015,134,0,0.092,0.9,0,15,0,12,160,7,6,0.25,0,7,0,0.25,0,0,129,0.06,0.08,0.4,0.32,0.17,13,0
"Nectarine, yellow, flesh and skin, raw",F,1,1,0,86.6,0.69,11.3,0.5,8.8,1.2,0,1,0.2,0.2,6.6,0.35,0.6,0.5,0.44,0,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,4.8,20,0.06,0.13,20,8,0.05,19,220,20,5,0.11,0,144,0,0.08,0.8,0,3.38,0.015,0.01,0.56,0.22,0.01,8.4,0
"Nectarine, white, flesh and skin, raw",F,1,1,0,86.5,0.81,11.4,0.5,8.9,1.3,0,1.1,0.2,0.2,6.5,0.35,0.5,0.5,0.59,0,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,5,20,0.07,0.13,20,8.1,0.06,18,210,20,5,0.1,0,5,0,1.04,0.8,0,3.01,0.015,0.02,0.1,0.22,0.01,11.9,0
"Grapefruit, yellow, pulp, raw",F,1,1,0,90.5,0.69,7.31,0.1,7.31,1.66,0,1.59,0,0.11,2.37,0,1.1,0,0.33,0,0,0.014,0.013,0.024,0,0,0,0,0,0,0.012,0.001,0,0,0,0,0,0,0,0,12,0,0.05,0.06,0,9,0.013,8,148,0,0,0.07,0,14,0,0.13,0,0,33.3,0.037,0.02,0.27,0.28,0.043,10,0
"Grapefruit, red or pink, pulp, raw",F,1,1,0,88.1,0.77,6.2,0.14,6.2,1.59,0,1.45,0,0,3.16,0,1.6,0,0.36,0,0,0.021,0.02,0.036,0,0,0,0,0,0,0.018,0.002,0,0,0,0,0,0,0,0,22,0,0.032,0.08,0,9,0.022,18,135,0,0,0.07,0,686,0,0.13,0,0,31.2,0.043,0.031,0.2,0.26,0.053,13,0
"Pear, var. Conférence, pulp, raw",F,1,1,0,85.3,0.5,11.4,0.5,9.4,6.6,0,1.2,0.2,0.2,1.6,0.35,3.1,1.8,0.25,0,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,3.9,20,0.05,0.09,20,5.3,0.02,9.3,99,20,5,0.07,0,19.3,0,0.08,0.8,0,1.39,0.015,0.01,0.1,0.065,0.01,12.6,0
"Pear, var. Williams, pulp, raw",F,1,1,0,84.7,0.5,11.5,0.5,9.4,7.2,0,1,0.2,0.2,1.2,0.35,3.1,1.9,0.25,0,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,6.1,20,0.05,0.07,20,5.3,0.02,9.8,120,20,5,0.09,0,5,0,0.08,0.8,0,2.57,0.015,0.01,0.1,0.06,0.01,18.4,0
"Apple, var. Chanteclerc, pulp, raw",F,1,1,0,86.4,0.5,11.2,0.5,10.8,5.4,0,1.3,0.2,0.2,4.1,0.35,1.9,0.5,0.25,0,0.078,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,4,20,0.04,0.06,20,3.6,0.03,10,120,20,5,0.05,0,54.6,0,0.08,0.8,0,2.85,0.015,0.01,0.1,0.078,0.039,5,0
"Apple, var. Gala, pulp, raw",F,1,1,0,85.5,0.5,11.9,0.5,11.1,6.3,0,1.1,0.2,0.2,3.7,0.35,1.9,0.5,0.25,0,0.093,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,3.6,20,0.03,0.06,20,3,0.02,7.8,91,20,5,0.05,0,11.6,0,0.08,0.8,0,1.33,0.02,0.01,0.1,0.1,0.035,6.98,0
"Apple, var. Pink lady, pulp, raw",F,1,1,0,83.6,0.5,12.8,0.5,12.3,6.6,0,1.1,0.2,0.2,4.6,0.35,2.9,0.5,0.25,0,0.031,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,2.8,20,0.03,0.07,20,3,0.02,7.5,110,20,5,0.05,0,32.3,0,0.08,0.8,0,2.13,0.015,0.01,0.1,0.093,0.058,5,0
"Peach, white-flesh variety, pulp and skin, raw",F,1,1,0,87.6,0.69,9.48,0.5,8.7,0.9,0,0.8,0.2,0.2,7,0.35,2.1,0.6,0.43,0,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,4.1,20,0.06,0.11,20,7.1,0.05,18,180,20,5,0.11,0,5,0,0.19,0.8,0,3.85,0.015,0.01,0.2,0.18,0.01,7.92,0
"Peach, white-flesh variety, pulp, raw",F,1,1,0,87.6,0.63,9.63,0.5,7.8,0.8,0,0.7,0.2,0.2,6.3,0.6,1.1,0.5,0.44,0,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,3.9,20,0.06,0.12,20,6.8,0.05,18,170,20,5,0.1,0,5,0,0.28,0.8,0,4.09,0.015,0.01,0.1,0.15,0.01,10.5,0
"Peach, yellow-flesh variety, pulp, raw",F,1,1,0,87.8,0.69,9.8,0.5,7.6,1.1,0,0.9,0.2,0.2,5.6,0.35,1,0.5,0.29,0,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,4.2,20,0.06,0.11,20,6.7,0.04,17,190,20,5,0.09,0,130,0,0.5,0.8,0,3.43,0.015,0.01,0.31,0.16,0.015,12,0
"Apple, var. Golden, pulp and skin, raw",F,1,1,0,85.1,0.5,12.8,0.5,11.5,6.9,0,1.4,0.2,0.2,3.2,0.35,1.4,0.5,0.25,0,0.048,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,4,20,0.04,0.07,20,3.8,0.03,10,130,20,5,0.07,0,56,0.25,0.08,0.8,0,0.5,0.015,0.01,0.1,0.096,0.046,5,0
"Grape, red, Muscat, raw",F,1,1,0,76.7,0.69,20,0.5,19.6,9.8,0,9.8,0.2,0.2,0.2,0.35,2.7,0.5,0.45,0,0.015,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,13,20,0.12,0.22,20,7.3,0.09,20,210,20,5,0.06,0,67.7,0,0.99,5.7,0,3.11,0.057,0.01,0.1,0.09,0.034,11,0
"Melon, honeydew, pulp, raw",F,1,0,0,91.9,0.58,4.3,0.17,4.3,1.55,0,1.38,0,0,1.37,0,0.75,0,0.56,0,0,0.044,0.015,0.062,0,0,0,0,0,0.002,0.037,0.0054,0.015,0.025,0.037,0,0,0,0,0.06,6,0,0.033,0.34,0,9.08,0.034,15.8,237,0,24.1,0.086,0,30,0,0.035,2.9,0,16.8,0.032,0.016,0.58,0.13,0.072,17,0
"Red berries (raspberries, strawberries, red currants, black currants) , raw",F,1,0,0,84.5,1.11,7.88,0.31,7.4,3.92,0,3.48,0,0.3,0.3,0.013,5.3,0,0.37,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,40,0,0.088,1,1.15,16.9,0.42,32.6,225,0.35,3,0.22,0,49.5,0,0.67,0,0,87,0.031,0.084,0.38,0.21,0.064,37.6,0
"Apples, raw, without skin, cooked, boiled/cooked in water",F,1,1,0,85.5,0.26,11.2,0.36,11,0,0,0,0,0,0,0,2.4,0,0.28,0,0,0.058,0.014,0.1,0,0,0,0,0.001,0.002,0.048,0.007,0,0,0,0,0,0,0,0.0025,5,0,0.035,0.19,0,3,0.12,8,88,0,1,0.04,0,19,0,0.05,0.6,0,0.2,0.016,0.012,0.095,0.046,0.044,1,0
"Pineapple, pulp, raw, sampled in the island of La Martinique",F,1,1,0,83.4,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,0,0,0,0,0,0,0
"Mango bassignac, pulp, raw, sampled in the island of La Martinique",F,1,1,0,77.3,0.32,18.5,0,0,0,0,0,0,0,0,4.5,3.2,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,0,0,0,0
"Mango moussache, pulp, raw, sampled in the island of La Martinique",F,1,1,0,75.5,1.28,20.9,0,0,0,0,0,0,0,0,3.7,2,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0
"Melon, pulp, raw, sampled in the island of La Martinique",F,1,0,0,87,1.08,0,0.047,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,0,0,0,0,0,0,0
"Orange (local variety), pulp, raw, sampled in the island of La Martinique",F,1,1,0,90.2,0.6,0,0.67,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.2,0,0,0,0,0,0,0
"Bitter orange, pulp, raw, sampled in the island of La Martinique",F,1,1,0,91.6,0.73,0,0.43,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,0,0
"Watermelon, pulp, raw, sampled in the island of La Martinique",F,1,0,0,91.5,0.77,0,0.26,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87,0,0,0,0,0,0,0
